行号	PDF页	上下文	注记
L3931		东有澄江。西北有澄迈巡检司，治石□矍都。南有兔颖巡检司，治曾家东都	
L3934		十七年八月置，万历九年迁县东南南□毛都陈家村。西北有铺前巡检司。东	
L4066		富民府西北。东有螳□良川，源自滇池，下流入金沙江。东	
L4072		年改设於琅井，此司遂废。又南有螳□良川。西有安宁河。又有禄脿、贴琉	
L4136		四川东川府界。又东有普渡河，即螳□良川，下流会掌鸠河水，入於金沙江	
L4332	p232	卫北。有鸭池河、柔远守御千户所卫□、定远守御千户所卫□。以上俱水西	
L4332	p232	守御千户所卫□、定远守御千户所卫□。以上俱水西地，崇祯三年与卫同置	
L4408		伯》以祀天神，则有禋祀、实柴、槱□燎之礼，以祀地祇，则有血祭、薶沈	
L4585		。十一月，荞麦、甘蔗、天鹅、鹚老□、鹿。十二月，芥菜、菠菜、白鱼、	
L4598		芦菔，益以山药，十一月减天鹅鹚老□，益以麞。皆太常奏闻，送光禄寺供	
L5172		文纁。盛乐斯举，香气氤氲。精禋孔□，彻于紫冥。恳祈膏泽，渥我嘉生。	
L5347		敬依从。鸣鞭三下同，公卿环珮响玎□东，掌扇护御容。中和乐，音吕浓，	
L5540	p117	一、璜二；瑀下垂玉花一、玉滴二；□彖饰云龙文描金。自珩而下系组五，	
L5547	p117	云龙文。玉谷圭，长七寸，剡其上，□彖谷文，黄绮约其下，韬以黄囊，金	
L5547	p117	一、璜二，瑀下垂玉花一、玉滴二；□彖饰云龙文描金；自珩而下，系组五	
L5548	p124	，或绣或铺翠圈金，饰以珠玉坠子，□彖龙文。四衤癸袄子，即褙子。深青	
L5548	p124	结绶，以红绿线罗为结，玉绶花一，□彖云龙文。绶带玉坠珠六，金垂头花	
L5549		燕居佩服之饰，俱同中宫，第织金绣□彖，俱云霞凤文，不用云龙文。	
L5553	p126	一、璜二；瑀下垂玉花一、玉滴二。□彖云龙文，描金。自珩而下，系组五	
L5557		同东宫妃，第金事件减一，玉绶花，□彖宝相花文。	
L6539	p243	等岛，西历桑岛、屺母母曵已岛，自□母□已西历三山岛、芙蓉岛、莱州大	
L6539	p243	，西历桑岛、屺母母曵已岛，自□母□已西历三山岛、芙蓉岛、莱州大洋、	
L6970	p361	，为设军多寡。平时走阵、哨探、守□□、焚荒诸事，无敢惰。稍违制，辄	
L6970	p361	为设军多寡。平时走阵、哨探、守□□、焚荒诸事，无敢惰。稍违制，辄按	
L6974	p363	海舟，大小相比，或百或五十联为一□宗，募惯习水工领之，而充以原额水	
L6976		，宜复旧。以烽火门、南日、浯屿三□宗为正兵，铜山、小埕二□宗为游兵	
L6976		、浯屿三□宗为正兵，铜山、小埕二□宗为游兵。寨设把总，分汛地，明斥	
L7069		及废疾者，依律论断。例应充军暿愰□哨、口外为民者，仍依律发遣。若年	
L11252	p57	橚镇平王有爌博平王安氵戍南陵王睦□英镇国中尉睦□挈镇国将军安氵侃镇	
L11252	p57	平王安氵戍南陵王睦□英镇国中尉睦□挈镇国将军安氵侃镇国中尉勤熨楚王	
L11268	p64	宗时以节孝旌。又温穆王曾孙中尉知□恚病笃，淑人贺氏欲先死以殉，取澒	
L11268	p64	勺咽之，左右救夺，遂绝饮食，与知□恚同时卒。表栾以闻。礼官言《会典	
L11284	p72	英炊皆赉金币，而以显榕次子恭王英□佥嗣。隆庆五年薨。	
L11293		赵王□巳，太祖第九子。洪武二年生。次年	
L11295	p75	势残杀人。馆陶王当淴亦淫暴，与观□定交恶，相讦奏。帝念观□定尚幼，	
L11295	p75	暴，与观□定交恶，相讦奏。帝念观□定尚幼，革其禄三之二，逮诛信等，	
L11295	p75	，亦革当淴禄三之一。二十八年，观□定薨。子恭王颐坦嗣，有孝行，捐邸	
L11297	p78	安丘将军颐墉，声诗清拔。乐陵王颐□戋亦喜称诗。	
L11306	p81	侍姬黄皆自经以殉。无子，弟僖王友□党由罗江王嗣，九年薨。献王第五子	
L11311	p82	年，桂薨。世子逊煓先卒，孙隐王仕□廛嗣。景泰中，尝上言总兵官郭登守	
L11312	p83	禄，怨充耀不为解，乃与襄垣中尉充□耿谋引敌入大同杀王。会应州人罗廷	
L11314		人聪浼、聪泈、俊陈八难、俊榷、俊□朵、俊杓、俊噤、充焞，皆娴于文章	
L11316	p85	又成钅具者，隰川王诸孙。父仕□则，坐罪幽凤阳，病死。成钅具微服	
L11319	p88	四月废为庶人，守简王园。弟肃王贵□受嗣，成化七年薨。子靖王豪墭嗣，	
L11321	p88	。辽国除，诸宗隶楚籓，以广元王术□周为宗理。庆靖王殿细旃，太祖第十	
L11321	p88	，或告王阅兵，造戎器，购天文书。□旃疑皆昭为之。三年上书，请徙国避	
L11324	p90	出银米佐工。万历二年薨。子端王倪□贵嗣，十六年薨。子宪王伸域嗣，十	
L11324	p90	帅锌地窖中，自经死。时寿阳嗣王倪□动，哱拜胁降之，不屈，为所囚。镇	
L11333	p98	废，诸郡王势颉颃，莫能一，帝命拱□贵摄府事。卒，乐安王拱椤摄。拱椤	
L11335	p98	免。子辅国将军拱概，孙奉国将军多□量，曾孙镇国中尉谋炜，三世皆端谨	
L11335	p98	敦行，自周籓中尉睦坰而外，莫及谋□韦者。万历二十二年，廷议增设石城	
L11336	p99	者。多煴、多炖以孝友著。多煪、多□宁以秉礼严重称。多□贵、多煃、多	
L11336	p99	著。多煪、多□宁以秉礼严重称。多□贵、多煃、多炘以善词赋名。而多煴	
L11341		王弥钳弥鋠辅国将军宇浃郢王栋伊王□彝皇子楠靖江王守谦	
L11343		虞王雄英吴王允熥衡王允熞徐王允□熙	
L11350	p103	嗣。十六年，流贼陷武冈遇害。谷王□惠，太祖第十九子。洪武二十四年封	
L11352	p104	二十二年改封平凉。仁宗即位，召冲□或与弟襄陵王冲秌、乐平王冲烌入朝	
L11352	p104	冲秌复请率子婿击贼。宪宗止之。冲□或兄弟并急王事，以籓禁严不用。自	
L11354	p106	饮，着为令。天顺元年薨。子庄王幼□学嗣，正德十一年薨。子恭王诠钲嗣	
L11356	p106	又清源王幼□予，康王第三子，博学能文词。其后	
L11357		，韩王融燧令长史革之。征钤长孙旭□童上言：“礼乐自天子出，韩王不宜	
L11365	p112	，终不湔改，奸回日甚。宜如徽王载□龠故事，禁锢高墙，削除世封。”诏	
L11375		徐王允□熙，兴宗第五子，建文元年封。成祖	
L11407	p129	为庶人。及康王薨，无子，见濍子祐□善应及，以前罪废，乃立东垣王子祐	
L11413	p131	“臣过汴，汴父老遮道，言按察使王□贤，以诬逮诏狱，愿皇上加察。”帝	
L11422	p135	言嗣，万历四年薨。无子，弟康王常□由安城王嗣，万历二十五年薨。子定	
L11434	p140	简王祐枱嗣，嘉靖四年薨。子恭王厚□爵嗣，二十九年薨。子浦城王载埨嗣	
L11435	p140	杖死，三聘、吉俱戍边。议者不直厚□爵。时方士陶仲文有宠于世宗，厚厚	
L11435	p140	。仲文具言王忠敬奉道。帝喜，封厚□爵太清辅元宣化真人，予金印。及载	
L11436	p141	事。狱成，降为庶人，锢高墙。时载□仑居宫中，所司防守严，狱词不得闻	
L11436	p141	都指挥使黄矰以私怨戕其弟思明知府□冈，灭其家，所司闻于朝。矰惧罪，	
L11437		礼、范广、过兴、卫颖，都督佥事张□儿、刘深、张通、郭瑛、刘鉴、张义	
L11444	p144	得效死，岂待识乎！”重卒得白。祐□耆闻而悔之，后以贤闻。嘉靖二十四	
L11453		壑景王载圳颍王载啇戚王载沴蓟王载□匮均王载□夙	
L11453		颍王载啇戚王载沴蓟王载□匮均王载□夙	
L11464	p147	哀冲太子载基。王贵妃生庄敬太子载□。杜太后生穆宗。卢靖妃生景王载圳	
L11464	p147	赵懿妃生戚王载沴。陈雍妃生蓟王载□匮。赵荣妃生均王载□夙。	
L11464	p147	雍妃生蓟王载□匮。赵荣妃生均王载□夙。	
L11470	p149	蓟哀王载□匮，世宗第七子。	
L11471	p149	均思王载□夙，世宗第八子。三王俱未逾岁殇，	
L11488	p155	世子已先卒，次子安仁王由□爱亦未几卒。次由榔，崇祯时，封永	
L11765		，和所筑沿海城戍，皆坚緻，久且不□己，浙人赖以自保，多歌思之。巡按	
L12371	p179	魏观，字□巳山，蒲圻人。元季隐居蒲山。太祖	
L12760		次子□道，以廕补尚宝丞。成化中，进太常	
L13097	p411	设烽堠，严兵以待。十七年六月，了□者言东南海岛中举火。江急引兵赴埚	
L13150		其冬，孛罗忽、满都鲁、乚□加思兰连兵深入，至秦州、安定、会	
L13292		黄宗载顾佐邵□已陈勉贾谅严升段民吾绅章敞徐琦刘	
L13336		平学行醇笃，心术正大。谙世事，了□国体。致仕二十余年，年九十八岁，	
L13679		勉陈敬宗刘铉萨琦邢让李绍林瀚子庭□昂庭机孙燫烃谢鐸鲁鐸赵永	
L13711	p95	。赠太子太保，谥文安。子九人，庭□昂、庭机最显。	
L13712		庭□昂，字利瞻。瀚次子也。弘治十二年	
L13713	p95	所规画多称意。会诏建沙河行宫，庭□昂议加天下田赋，为御史桑乔、给事	
L13817		禄，宜班给以昭崇儒之意。黄干、刘□龠、蔡沈、真德秀配祠硃子，亦景泰	
L14171		越、辅以满都鲁、孛罗忽、乚□加思兰方强盛，势未可破，乃奏言：	
L14180	p233	水，以故人乐为用。又尝荐杨守随、□钟、屠滽辈，皆有名于世。睦族敦旧	
L14331		，始有还上皇意。上皇既还，代王仕□廛颂登功，乞降敕奖劳。兵部言登已	
L14489		迁都指挥使，充延绥右参将。屡败乚□加思兰兵，进署都督佥事。巡抚余子	
L14808		李俊汪奎从子舜民崔升等汤鼐吉人刘□董杰姜绾余濬等姜洪欧阳旦畅亨曹璘	
L14891		□，济宁人。成化二十年进士。除寿州	
L15388		弋福、给事中马予聪等劾钟。巡抚张□亘等请罢役，不听。未几，工成，侍	
L15685	p264	、刘玑、江珊，员外郎金廷瑞、范钅□、庞淳，主事伍余福、张凤来、张羽	
L16086		相联络，堡兵非千人不可居，而游徼□□望者不与，当三十万众不止也。况	
L16086		联络，堡兵非千人不可居，而游徼□□望者不与，当三十万众不止也。况循	
L16120	p15	潘埙驳诸请振文牒，候勘实乃发。钅□不待报，辄开仓振之，全活十余万。	
L16120	p15	开仓振之，全活十余万。民争讴颂钅□，语闻禁中。帝为责户部及埙与巡按	
L16120	p15	部及埙与巡按御史匿灾状。埙归罪钅□以自解，被劾罢去，钅□名由此显。	
L16120	p15	。埙归罪钅□以自解，被劾罢去，钅□名由此显。迁两淮盐运使，条上鹾政	
L16122	p17	郎，转左。尚书王以旂出督三边，钅□署部事。顷之，奉诏总理边关厄隘。	
L16122	p17	蓟、辽抚臣调度，援燕河。”余如钅□言，下守臣议。	
L16123	p17	帝才钅□甚。会兵部尚书赵廷瑞罢，即命钅□	
L16123	p17	□甚。会兵部尚书赵廷瑞罢，即命钅□入代。钅□以老辞，且言随事通变，	
L16123	p17	部尚书赵廷瑞罢，即命钅□入代。钅□以老辞，且言随事通变，乏将顺之宜	
L16123	p17	随事通变，乏将顺之宜。帝怒，责钅□不恭，削其籍。时严嵩当国，而钅□	
L16123	p17	□不恭，削其籍。时严嵩当国，而钅□本由徐阶荐，天下推为长者，惜其去	
L16123	p17	下推为长者，惜其去，不以罪。然钅□罢，帝召翁万达，甫至以忧去，丁汝	
L16123	p17	年，俺答逼都城，汝夔遂诛死。而钅□归久之乃卒。隆庆元年复官。	
L16135		宪、王以旂之治军旅，李承勋、范钅□之画边计，才力均有过人者。胡世宁	
L16175	p36	与镇国将军俊穠等登城，止毋攻。俊□隐出见永请缓兵，皆不听。允中缒城	
L16296		，奉为帅，死守。亻放与镇国将军俊□隐等登城，止毋攻。俊□隐出见永请	
L16296		镇国将军俊□隐等登城，止毋攻。俊□隐出见永请缓兵，皆不听。允中缒城	
L16391		王□，句容人。由进士除吉安推官。从王	
L16421		副都御史巡抚河南。偕按臣劾徽王载□仑贪虐，遂夺国。伊王典礻英骄横，	
L16533		率为乱。今首恶宜急诛。”乃召还庭□昂，命铣勘实，悉斩诸首恶，悬首边	
L16760		疏中讹字，停其俸。十八年偕同官曾□廷，李逢、周珫谏帝南巡，忤旨。已	
L16842		者。相臣挟权以遏言官，言官惧势而□弗公议，上下雷同，非社稷福。乞罢	
L16913		。曹家庄之役，奇功也。虽晋秩，未□寿勋，宜赠封爵延子孙。他如董旸、	
L16962		事，人事无过择官。尚书严嵩及林庭□昂、张瓚、张云皆上负国恩，下乖舆	
L16962		彼所致。”疏奏，四人皆乞罢。诏庭□昂、云致仕，留嵩、瓚如故。嵩再疏	
L17196	p365	，进福建参将。倭陷福清、南安，连□宗出海。凤邀击，沈其七舟。追至外	
L17256	p390	立复追论居正罪，指居正构辽庶人宪□节狱。庶人妃因上疏辩冤，且曰：“	
L17322		所称，则尽以创鰲山、修宫苑、制鞦□迁、造龙凤舰、治金柜玉盆。群小因	
L17358		景淳（子汝稷汝说）田一俊?咍蝽鯈□懋学从孙寿民）黄凤翔（韩世能）余	
L17619	p79	如此。卒官，赠右都御史，谥庄靖。□贾见《邹应龙传》。	
L17640	p89	自象山突台州，纶连破之马岗、何家□览，又与继光共破之葛埠、南湾。加	
L17889	p198	，千手经年，不成一匹。他若山西之□，苏、松之锦绮，岁额既盈，加造不	
L18696		士。除广州教授。与税监李凤争学傍□需地，凤舍人驰骑文庙前，絷其马，	
L18902	p46	之乎？一不中，吾侪无噍类矣。”万□景死，尊素讽涟去，涟不从，卒及于	
L19140		三丈楼临城，用妇人、鸡犬厌胜术。□云、永安烹彘杂斗米饭投饲鸡犬，而	
L19151	p137	弟阿伦，遂抵贵阳城下，贼解围去。□云、永安请三善入城，三善曰：“贼	
L19207		李标（李国□普（周道登）刘鸿训钱龙锡（钱士升	
L19211	p166	正论。刘志选劾张国纪以撼中宫，国□普言：“子不宜佐父难母，而况无间	
L19211	p166	中极殿大学士。国子监生胡焕猷劾国□普等褫衣冠，国□普荐复之，时人称	
L19211	p166	子监生胡焕猷劾国□普等褫衣冠，国□普荐复之，时人称为长厚。元年五月	
L19478	p263	邪，朕殊不觉。”群臣对曰：“此乃□巳之所以为奸邪也。”臣每三覆斯言	
L19518	p277	得一士之用乎！凡绝饵而去者，必非□鱼；恋栈而来者，必非骏马。以利禄	
L19588		汪泗论，字自鲁，休宁人。祖□自，嘉靖中进士，历官福建兵备佥事	
L19742		挺身招摇，败则潜形逋窜，骇心志而□龠耳目，毁成法而酿隐忧，天下事尚	
L20088	p495	”移其妻子空舍，戒毋犯。杀代王传□齐及其宗室殆尽。	
L20116	p503	初，城之陷也，逢圣载家人以其□句其句鹿出墩子，凿其□氐艡，皆溺	
L20116	p503	载家人以其□句其句鹿出墩子，凿其□氐艡，皆溺。贺氏死者，妻危氏，子	
L20122	p504	兰国也，自昔不通中土，由大泥、咬□留吧二国通闽商。万历中，奸民潘秀	
L20122	p504	，贼方犯漳、泉，招日本、大泥、咬□留吧及海寇李旦等为助。居益使人招	
L20122	p504	为助。居益使人招旦，说携大泥、咬□留吧。贼帅高文律惧，遣使求款，斩	
L20581		，复以为言。会贼入河北，言者请令□剿，□怏怏而行。给事中范淑泰劾玘	
L20581		为言。会贼入河北，言者请令□剿，□怏怏而行。给事中范淑泰劾玘虐民，	
L20630	p188	。庶民之家，父兄被杀，尚思穴胸断□豆，得而甘心，况在朝廷，顾可漠置	
L20698	p214	县周寿明，进士徐家麒及向列星、李□八人也。	
L20704	p215	辟也。黄继祖、沈元龙、向列星、李□、黄纪、孙襄、王之牧、王皋、梅鹗	
L20706	p216	济，以副委任。倬乃上疏言：“文衡□亢脏成性，必不能仰鼻息于中官；希	
L20933		初，聿□之自立于广州也，召南海霍子衡为太	
L20950	p307	与议，吕大器亦叱辱之。适唐王弟聿□与大学士何吾驺自闽至，南海关捷先	
L21226	p417	去理。”乃止。明年大计京官，黜张□总、桂萼党吏部郎中彭泽，□总、萼	
L21226	p417	，黜张□总、桂萼党吏部郎中彭泽，□总、萼竟取旨留之。理擢南京通政参	
L21237	p421	议去位，其他摈斥杖戍者相望，而张□总、桂萼等骤贵显用事。铣上疏求去	
L21237	p421	萼等骤贵显用事。铣上疏求去，且劾□总、萼等曰：“臣究观议者，其文则	
L21292	p445	，亦学于守仁。守仁教之曰：“常舀□然无自是而已。”瑜终身践之。举于	
L21447	p2	溥苏平等张弼张泰陆釴陆容程敏政罗□储巏李梦阳康海王九思王维桢何景明	
L21514		学佺详见后传。□勃，字兴公，闽县人。兄熥，万历间	
L21699	p83	事闻，遣行人赐祭，赙其家，官为置□冢。	
L21742	p94	长子□易，好学有器识。既葬父，日夜号泣	
L21742	p94	夜号泣，六年而后就廕。人或趣之，□易曰：“吾父死，□易乃因得官。”	
L21742	p94	廕。人或趣之，□易曰：“吾父死，□易乃因得官。”痛哭不能仰视。□易	
L21742	p94	，□易乃因得官。”痛哭不能仰视。□易子安阝，事亲孝。隆庆中举于乡，	
L21794		义当与城存亡。”及贼入，与士官金□粲端坐堂上，并为贼所杀，婢仆从死	
L21849		至。闰十一月，大清兵至，与参议赵□廷、同知姚汝明、知县陈三接等坚守	
L21850		□廷，字秉珪，慈溪人。崇祯元年进士	
L21853		□廷赠太仆卿，胤绍光禄卿，汝明、三	
L22007	p189	文荣硃士鼎徐学颜李毓英等冯云路熊□明睿易道暹傅可知蔡道宪周二南等张	
L22146	p233	水叶伯广，海宁董谦，浙江建德蔡廷□茶，奉化陆洪，余干桃源训导张宪，	
L22146	p233	，弘农卫习润，泾阳赵谧、骆森、赵□遂，同州张鼎，洋县武全，甘州左卫	
L22168		请缚我。”贼从之，既就缚，掷袖中□奚与姑，诀曰：“妇无用此矣。”且	
L22412	p350	。频促之，不得已而入。姑所私戏纟□其臂。妙凤愤，拔刀斫臂不殊，再斫	
L22414	p350	”一人乃前刺其颈，一人刺其胁，又□豕其阴。举尸欲焚之，尸重不可举，	
L22414	p350	，乃火其室。邻里救火者蹋门入，见□赫然死人，惊闻于官。官逮小女奴及	
L22609	p418	诚、舒良、张永、王勤等，谓其与黄□厷扌冓邪议，易太子，且与于谦、王	
L22619	p423	西长安门不得入，纵火。守卫者拆河□需砖石塞诸门。贼往来叫呼门外。镗	
L22706		十四大罪。疏上，忠贤惧，求解于韩□广不应，遂趋帝前泣诉，且辞东厂，	
L22716	p468	道胡士容以不具建祠文，遵化道耿如□巳入祠不拜，皆下狱论死。故天下风	
L22720	p470	逆案地。帝亦厌廷臣党比，复委用中□当。而逆案中阮大铖等卒肆毒江左，	
L22774	p19	御史，并绾两篆，握兵权宪纪，出入□亘赫，势倾朝野。无何，熹宗崩，廷	
L22903		国事，职为乱阶。究其心迹，殆将与□巳、桧同科。吁可畏哉！作《奸臣传	
L22988		稍稍惧。会京师戒严，山西巡抚耿如□巳勤王兵哗而西，延绥总兵吴自勉、	
L22997	p130	闯王矣。是月，犯阶、徽。未几，出□、陇，犯凤翔，渡渭河。	
L23015		死。乘胜取宁夏，屠庆阳，执韩王亶□脊。移攻兰州，甘肃巡抚林日端等亦	
L23017	p140	景瑗、总兵硃三乐死。自成杀代王传□齐，代籓宗室殆尽。犯宣府，总兵姜	
L23044	p151	乃悉众趋岳州、长沙。于是监军道王□质、沔阳知州章旷、武昌生员程天一	
L23567	p35	众结营于府三十里外，驰至府，袭杀□冈一家，支解□冈及钧，甕葬后圃，	
L23567	p35	里外，驰至府，袭杀□冈一家，支解□冈及钧，甕葬后圃，仍归原寨。明日	
L23567	p35	哀，遣人报矰捕贼，以掩其迹。方杀□冈时，冈时冈仆福童得免，走宪司诉	
L23567	p35	其事，且以征兵檄为证。郡人亦言杀□冈一家者，矰父子也。副总兵武毅以	
L23645	p64	讨璋，猛杀之，相乃归。相二子，长□遂，次宝。相枝拇，宝亦枝拇，相绝	
L23646	p64	嘉靖元年，相死，州人立□遂。楷弑之，州人立其族弟暖。时王	
L23759	p113	，叔明遣使谢恩，自称年老，乞命弟□耑摄政，从之。请耑遣使谢恩，请贡	
L23760		十年，□耑侵占城，败没。弟炜代立，遣使告	
L23763	p115	不听。占城诉安南侵掠，诏令修好。□阳言奉命，侵掠如故，且授印章逼为	
L23764	p116	以君礼，当建尔上公，封以大郡。”□复遣景真从聪等还报，迎天平。聪力	
L23764	p116	遣景真从聪等还报，迎天平。聪力言□诚可信，帝乃冬天平还国，敕广西左	
L23832	p161	化、余姚、上虞，被杀掳者无算。至□乘县乃歼之，亦不满二百人，顾深入	
L23941		武，国人推其伯父参烈宝{田比}邪□思□里哆啰禄主国事，遣使来告，贡	
L23941		国人推其伯父参烈宝{田比}邪□思□里哆啰禄主国事，遣使来告，贡方物	
L24017	p231	入的力布各二匹，花满直地二，番绵□直地二，兜罗绵二斤，撒剌八二个，	
L24043		不设，乃冠来辄遭蹂躏者，盖墩台止□□望，城堡又无制远之具，故往往受	
L24043		设，乃冠来辄遭蹂躏者，盖墩台止□□望，城堡又无制远之具，故往往受困	
L24050	p242	福建商人岁给引往贩大泥、吕宋及咬□留吧者，和兰人就诸国转贩，未敢窥	
L24053	p244	势愈炽。有小校陈士瑛者，先遣往咬□留吧宣谕其王，至三角屿遇红毛船，	
L24053	p244	宣谕其王，至三角屿遇红毛船，言咬□留吧王已往阿南国，因与士瑛偕至大	
L24053	p244	因与士瑛偕至大泥，谒其王。王言咬□留吧国主已大集战舰，议往彭湖求互	
L24053	p244	必至构兵。盖阿南即红毛番国，而咬□留吧、大泥与之合谋，必不可以理谕	
L24065		，吐烟出云，为下国洪庞。肃其烦高□，时其雨旸，祛彼氛妖，作彼丰穰。	
L24168		初，□□加思兰以女妻满都鲁，立为可汗。	
L24168		初，□□加思兰以女妻满都鲁，立为可汗。久	
L24211	p297	、牛马、皮张、马尾等物，商贩以缎□、布匹、釜锅等物。开市日，来者以	
L24211	p297	赏。守市兵人布二匹，部长缎二匹、□二匹。以好至边者，酌来使大小，量	
L24333		。明年复贡，奏求忽拨思筝、鼓罗、□占镫、高丽布诸物。廷议不许。	
L24366	p356	复冒送，臣部已重申约束。今副使吴□等不能严饬武备，专事通番，以纾近	
L24402		墓西四十里曰骟马城，并设墩台，置□□卒。城西八十里即赤斤蒙古。汉燉	
L24402		西四十里曰骟马城，并设墩台，置□□卒。城西八十里即赤斤蒙古。汉燉煌	
L24443	p384	九。其徒灌顶圆通善慧大国师答师巴□罗葛罗思等，亦加优赐。遂封哈立麻	
L24445	p386	为之阻滞。入峡江，舟大难进，易以□冓□鹿，相连二百余里。及抵成都，	
L24445	p386	阻滞。入峡江，舟大难进，易以□冓□鹿，相连二百余里。及抵成都，日支	
L24456	p390	，事乃寝。十三年命为故西天佛子著□□领占建塔。工部尚书徐贯等言，此	
L24456	p390	事乃寝。十三年命为故西天佛子著□□领占建塔。工部尚书徐贯等言，此僧	
L24505	p405	接董卜宣慰文牒言：‘杂谷故安抚阿□票小妻毒杀其夫及子，又贿威州千户	
L24589		，曰邪思城，曰舍黑，曰摆音，曰克□□，计二十九部。以疆域褊小，止称	
L24589		曰邪思城，曰舍黑，曰摆音，曰克□□，计二十九部。以疆域褊小，止称地	
L24595		裒一代之旧闻，历纂辑于兴朝，毕校□于兹日。垂光册府，焕采书林。窃惟	
